Political affiliation/Appartenance politique,N.L. Percentage of Valid Votes/Pourcentage des votes valides T.-N.-L.,P.E.I. Percentage of Valid Votes/Pourcentage des votes valides Î.-P.-É.,N.S. Percentage of Valid Votes/Pourcentage des votes valides N.-É.,N.B. Percentage of Valid Votes/Pourcentage des votes valides N.-B.,Quebec,Ontario,Manitoba Percentage of Valid Votes/Pourcentage des votes valides Man.,Saskatchewan Percentage of Valid Votes/Pourcentage des votes valides Sask.,Alberta,British Columbia,Y.T. Percentage of Valid Votes/Pourcentage des votes valides Yn,N.W.T. Percentage of Valid Votes/Pourcentage des votes valides T.N.-O.,Nun. Percentage of Valid Votes/Pourcentage des votes valides Nt,Total,Atlantic Canada,Sask. & Man.
Alliance of the North/Alliance du Nord,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Animal Alliance Environment Voters Party of Canada/Animal Alliance Environment Voters Party of Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BQ,0,0,0,0,19.4,0,0,0,0,0,0,0,0,4.7,0,0
Canada Party/Parti Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canadian Action Party/Parti action canadienne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian Heritage Party of Canada/Parti de l'Héritage Chrétien du Canada,0,0.3,0,0,0,0.1,0.3,0,0.1,0.1,0,0,0,0.1,0.075,0.15
Communist Party of Canada/Parti communiste du Canada,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.025,0
CON,10.3,19.3,17.9,25.4,16.7,35.1,37.4,48.5,59.6,29.9,24.3,18.3,24.8,31.9,15.83333333,42.95
Democratic Advancement Party of Canada/Parti pour l'Avancement de la Démocratie au Canada,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0
Forces et Démocratie/Forces et Démocratie,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0
GRN,1.1,6,3.4,4.7,2.2,2.8,3.2,2.1,2.5,8.2,2.6,2.8,1.5,3.4,3.8,2.65
LIB,64.5,58.3,62,51.6,35.7,44.8,44.7,23.9,24.5,35.1,53.7,48.3,47.1,39.5,59.1,34.3
Libertarian Party of Canada/Parti Libertarien du Canada,0,0,0,0,0.1,0.2,0.2,0.1,0.5,0.3,0,0,0,0.2,0,0.15
Marijuana Party/Parti Marijuana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marxist-Leninist Party of Canada/Parti Marxiste-Léniniste du Canada,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0.1,0,0
NDP,21.1,16,16.3,18.4,25.4,16.6,13.6,25.1,11.6,26,19.4,30.5,26.6,19.7,17.95,19.35
"Party for Accountability, Competency and Transparency/Parti pour la Responsabilisation, la Compétence et la Transparence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pirate Party of Canada/Parti Pirate du Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Progressive Canadian Party/Parti Progressiste Canadien,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhinoceros Party/Parti Rhinocéros,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0.05
Seniors Party of Canada/Parti des aînés du Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Bridge Party of Canada/Parti pour nouer des liens entre Canadiens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Party of Canada/Parti Uni du Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Independent/Indépendant,0,0,0.3,0.1,0.1,0.2,0.6,0.2,0.9,0.1,0,0,0,0.2,0.1,0.4
No Affiliation/Aucune appartenance,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.725,0
